0,-1,0,0,0
1,0,0.809723,-0.0511685,0.584578
2,0,0.476253,-0.13329,-0.869147
3,1,1.27126,-0.210212,1.45733
4,3,0.802655,0.0458819,2.3028
5,2,0.712113,0.354335,-1.70974
6,5,0.0501564,0.214973,-2.44621
7,3,1.99456,-0.886864,1.31956
8,6,-0.336254,-0.704759,-2.51535
9,6,-0.0859045,0.696343,-3.3121
10,9,0.821064,0.942192,-3.6541
11,4,1.02199,-0.516883,3.09979
12,9,-0.366957,1.57956,-3.68752
13,4,-0.016728,0.457958,2.70131
14,10,1.77789,0.933254,-3.94464
15,14,2.62471,0.586793,-4.34819
16,4,1.34907,0.781468,2.70323
17,15,3.00112,0.674444,-5.27049
18,7,1.96851,-1.81952,0.959733
19,12,-0.772658,2.49231,-3.73551
20,11,0.333808,-1.18218,3.38924
21,16,2.05152,0.601443,3.39182
22,17,3.89162,1.01238,-5.57512
23,22,4.40332,1.73285,-5.10705
24,17,2.77043,0.720614,-6.24242
25,16,1.98632,1.37242,2.20856
26,8,-0.00573424,-1.64533,-2.59333
27,26,-0.691743,-2.36715,-2.68481
28,17,3.17316,-0.295151,-5.44451
29,23,5.14709,1.87405,-5.76041
30,29,5.52821,2.50373,-5.08347
31,20,0.654285,-1.91863,3.985
32,13,-0.651899,0.964326,3.28453
33,29,6.06709,1.49339,-5.85369
34,27,-1.24976,-2.2751,-3.50952
35,27,-0.695473,-3.25375,-2.22229
36,24,2.53204,1.09599,-7.13811
37,30,6.36651,2.35657,-4.55849
38,34,-1.37543,-1.67064,-4.29618
39,33,7.04944,1.40121,-5.69095
40,14,1.76178,1.92756,-3.83933
41,32,-0.411457,1.80793,3.76466
42,32,-0.992042,0.428281,4.05716
43,28,3.86336,-0.92884,-5.79389
44,43,3.19163,-1.20564,-6.48102
45,39,7.60928,1.25386,-6.50635
46,44,2.58441,-1.61105,-7.16434
47,30,5.75999,3.31538,-5.61967
48,39,7.46689,0.579808,-5.30232
49,19,-1.43118,2.91815,-4.35599
50,31,1.63891,-2.05552,3.87651
